bclq_id	proteo_id	subgroup	batch	track
12H170	126	CK	1	1
06H135	127N	CK	1	2
04H132	127C	CK	1	3
11H170	128C	CK	1	4
06H074	129C	CK	1	5
12H106	130C	CK	1	6
6CellsL_3	131	6CellsL	1	7
